"Data Source","World Development Indicators",

"Last Updated Date","2017-04-27",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016",
"Aruba","ABW","PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)","EN.ATM.PM25.MC.M3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Afghanistan","AFG","PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)","EN.ATM.PM25.MC.M3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","60.93404068","","","","","56.04007487","","","","","56.05448305","","","","","43.21094707","","","","","46.56779545","50.40091241","50.56149778","50.93477732","49.02676109","48.01676483","",
"Angola","AGO","PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)","EN.ATM.PM25.MC.M3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","36.70268637","","","","","36.21139465","","","","","39.64056265","","","","","35.29216767","","","","","30.84495901","31.59438405","33.62948538","33.70874667","35.12951271","36.39542768","",
"Albania","ALB","PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)","EN.ATM.PM25.MC.M3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17.79532722","","","","","15.04932411","","","","","14.29310003","","","","","12.17598326","","","","","15.32580588","14.67280319","14.511993","15.64245935","16.69960729","17.93662454","",
"Andorra","AND","PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)","EN.ATM.PM25.MC.M3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11.32354259","","","","","11.0575598","","","","","10.81286722","","","","","10.92749845","","","","","10.88411327","10.92136743","10.91712823","10.70556757","10.38933824","10.05993572","",
"Arab World","ARB","PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)","EN.ATM.PM25.MC.M3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","53.2327611059861","","","","","51.9300299922117","","","","","53.0432773985549","","","","","53.0112608905145","","","","","64.2013142340985","63.5691024027748","64.2248598149128","63.7043283334351","63.2145790208804","63.3025385187305","",
"United Arab Emirates","ARE","PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)","EN.ATM.PM25.MC.M3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","75.60654903","","","","","74.50524872","","","","","75.56362831","","","","","67.24063338","","","","","74.11933045","73.16350199","74.99061583","70.85059428","67.17545852","64.29012818","",
"Argentina","ARG","PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)","EN.ATM.PM25.MC.M3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15.99499122","","","","","16.16008267","","","","","15.66941992","","","","","14.91562346","","","","","14.27254307","14.12314793","14.15148439","13.62121025","13.67861608","13.44396548","",
"Armenia","ARM","PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)","EN.ATM.PM25.MC.M3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20.62709363","","","","","17.17492566","","","","","18.54667114","","","","","20.96387232","","","","","25.90381947","25.74679593","24.28148614","24.79903114","25.08644703","25.50768535","",
"American Samoa","ASM","PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)","EN.ATM.PM25.MC.M3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.350387136","","","","","4.297509391","","","","","4.322886886","","","","","4.339080007","","","","","3.410088967","3.30293518","3.379987778","3.448989662","3.638034547","3.732035944","",
